year;country;desc country;commodity group;main commercial species;ers code;english name;volume(kg);weight;value(eur)
2023;BG;Bulgaria;Freshwater fish;Pike-perch;FPP;Pike-perch;25660;Live weight;120970
2023;BG;Bulgaria;Freshwater fish;Other freshwater fish;FTE;Tench;160;Live weight;100
2023;BG;Bulgaria;Freshwater fish;Other freshwater fish;HUH;Beluga;7590;Live weight;59140
2023;BG;Bulgaria;Freshwater fish;Freshwater catfish;ITP;Channel catfish;3970;Live weight;13190
2023;BG;Bulgaria;Bivalves and other molluscs and aquatic invertebrates;Mussel Mytilus spp;MSM;Mediterranean mussel;1096320;Live weight;1653620
2023;BG;Bulgaria;Freshwater fish;Other freshwater fish;PAM;Mississippi paddlefish;15320;Live weight;77550
2023;BG;Bulgaria;Crustaceans;Shrimp, warmwater;PNV;Whiteleg shrimp;22610;Live weight;385890
2023;BG;Bulgaria;Miscellaneous aquatic products;Seaweed and other algae;SIZ;Spirulina nei;7130;Live weight;130330
2023;BG;Bulgaria;Freshwater fish;Freshwater catfish;SOM;Wels(=Som)catfish;77500;Live weight;358220
2023;BG;Bulgaria;Freshwater fish;Other freshwater fish;SRE;Rudd;250;Live weight;160
2023;BG;Bulgaria;Freshwater fish;Other freshwater fish;STU;Sturgeons nei;37040;Live weight;271580
2023;BG;Bulgaria;Freshwater fish;Carp;SVC;Silver carp;29640;Live weight;59860
2023;BG;Bulgaria;Salmonids;Trout;SVF;Brook trout;540;Live weight;3080
2023;BG;Bulgaria;Salmonids;Trout;TRR;Rainbow trout;4639550;Live weight;25216490
2023;BG;Bulgaria;Salmonids;Trout;TRS;Sea trout;10800;Live weight;59310
2023;HR;Croatia;Tuna and tuna-like species;Tuna, bluefin;BFT;Atlantic bluefin tuna;3271540;Live weight;50525620
2023;HR;Croatia;Freshwater fish;Carp;BIC;Bighead carp;323000;Live weight;440250
2023;HR;Croatia;Other marine fish;Seabass, European;BSS;European seabass;8514990;Live weight;63189710
2023;HR;Croatia;Freshwater fish;Carp;FCG;Grass carp(=White amur);240720;Live weight;647540
2023;AT;Austria;Freshwater fish;Carp;BIC;Bighead carp;380;Live weight;2130
2023;AT;Austria;Salmonids;Other salmonids;CHR;Chars nei;486010;Live weight;5262970
2023;FR;France;Other marine fish;Seabream, gilthead;SBG;Gilthead seabream;2456890;Live weight;23708210
2023;FR;France;Miscellaneous aquatic products;Seaweed and other algae;SIZ;Spirulina nei;214000;Live weight;7680740
2023;FR;France;Salmonids;Other salmonids;SLX;Salmonoids nei;161170;Live weight;1781280
2023;FR;France;Freshwater fish;Other freshwater fish;STU;Sturgeons nei;3540;Live weight;26520
2023;FR;France;Miscellaneous aquatic products;Seaweed and other algae;SWX;Seaweeds nei;128500;Live weight;869270
2023;FR;France;Salmonids;Trout;TRR;Rainbow trout;27409020;Live weight;138112420
2023;FR;France;Salmonids;Trout;TRS;Sea trout;277280;Live weight;2399350
2023;FR;France;Miscellaneous aquatic products;Seaweed and other algae;UDP;Wakame;110460;Live weight;488120
2023;DE;Germany;Crustaceans;Freshwater crayfish;AAS;Noble crayfish;2000;Live weight;71660
2023;DE;Germany;Salmonids;Other salmonids;ACH;Arctic char;62000;Live weight;455450
2023;DE;Germany;Salmonids;Other salmonids;CHR;Chars nei;1610000;Live weight;8275160
2023;DE;Germany;Freshwater fish;Freshwater catfish;CLZ;North African catfish;372200;Live weight;1614980
2023;DE;Germany;Freshwater fish;Carp;CWG;Prussian carp;42400;Live weight;107780
2023;DE;Germany;Freshwater fish;Eel;ELE;European eel;1163000;Live weight;16316420
2023;DE;Germany;Freshwater fish;Other freshwater fish;FBM;Freshwater bream;14800;Live weight;60430
2023;DE;Germany;Freshwater fish;Carp;FCC;Crucian carp;11500;Live weight;39300
2023;DE;Germany;Freshwater fish;Carp;FCG;Grass carp(=White amur);98600;Live weight;503750
2023;DE;Germany;Freshwater fish;Carp;FCP;Common carp;4056000;Live weight;13424970
2023;DE;Germany;Freshwater fish;Other freshwater fish;FPE;European perch;8800;Live weight;83070
2023;DE;Germany;Freshwater fish;Pike;FPI;Northern pike;44000;Live weight;364310
2023;DE;Germany;Freshwater fish;Pike-perch;FPP;Pike-perch;147800;Live weight;2201330
2023;DE;Germany;Freshwater fish;Other freshwater fish;FRF;Freshwater fishes nei;545000;Live weight;2179940
2023;DE;Germany;Freshwater fish;Other freshwater fish;FTE;Tench;119000;Live weight;674710
2023;DE;Germany;Salmonids;Salmon;HUC;Huchen;1800;Live weight;31920
2023;DE;Germany;Bivalves and other molluscs and aquatic invertebrates;Mussel Mytilus spp;MUS;Blue mussel;18029000;Live weight;29746990
2023;DE;Germany;Bivalves and other molluscs and aquatic invertebrates;Oyster;OYG;Pacific cupped oyster;50000;Live weight;449990
2023;DE;Germany;Crustaceans;Shrimp, warmwater;PNV;Whiteleg shrimp;34300;Live weight;1520690
2023;DE;Germany;Freshwater fish;Freshwater catfish;SOM;Wels(=Som)catfish;128000;Live weight;920290
2023;DE;Germany;Freshwater fish;Other freshwater fish;SRE;Rudd;27000;Live weight;156010
2023;DE;Germany;Freshwater fish;Other freshwater fish;STU;Sturgeons nei;109000;Live weight;893770
2023;DE;Germany;Salmonids;Trout;SVF;Brook trout;324000;Live weight;2271170
2023;DE;Germany;Salmonids;Trout;TRR;Rainbow trout;7620000;Live weight;46404450
2023;DE;Germany;Salmonids;Trout;TRS;Sea trout;610000;Live weight;4355270
2023;EL;Greece;Other marine fish;Seabass, European;BSS;European seabass;44200900;Live weight;284971670
2023;EL;Greece;Other marine fish;Other marine fish;COB;Shi drum;63300;Live weight;319870
2023;EL;Greece;Crustaceans;Crab;CRA;Marine crabs nei;73400;Live weight;75810
2023;EL;Greece;Freshwater fish;Carp;FCP;Common carp;45600;Live weight;113640
2023;EL;Greece;Other marine fish;Other marine fish;MGR;Meagre;4449100;Live weight;21677420
2023;EL;Greece;Bivalves and other molluscs and aquatic invertebrates;Mussel Mytilus spp;MSM;Mediterranean mussel;18008400;Live weight;11897360
2023;EL;Greece;Other marine fish;Other marine fish;MUF;Flathead grey mullet;150000;Live weight;469130
2023;EL;Greece;Other marine fish;Other marine fish;MZZ;Marine fishes nei;104700;Live weight;112640
2023;EL;Greece;Other marine fish;Seabream, other;RPG;Red porgy;6454700;Live weight;37598690
2023;EL;Greece;Other marine fish;Seabream, gilthead;SBG;Gilthead seabream;65096900;Live weight;318005400
2023;EL;Greece;Freshwater fish;Other freshwater fish;STU;Sturgeons nei;139600;Live weight;243780
2023;EL;Greece;Miscellaneous aquatic products;Seaweed and other algae;SWX;Seaweeds nei;17600;Live weight;408120
2023;EL;Greece;Salmonids;Trout;TRR;Rainbow trout;2103500;Live weight;7912400
2023;HU;Hungary;Freshwater fish;Freshwater catfish;CTO;Torpedo-shaped catfishes nei;4090380;Live weight;9962170
2023;HU;Hungary;Freshwater fish;Carp;FCG;Grass carp(=White amur);562900;Live weight;1791090
2023;HU;Hungary;Freshwater fish;Carp;FCP;Common carp;11037230;Live weight;40928960
2023;HU;Hungary;Freshwater fish;Pike;FPI;Northern pike;21880;Live weight;204420
2023;HU;Hungary;Freshwater fish;Pike-perch;FPP;Pike-perch;26420;Live weight;334510
2023;HU;Hungary;Freshwater fish;Other freshwater fish;FRF;Freshwater fishes nei;669390;Live weight;1478000
2023;HU;Hungary;Freshwater fish;Other freshwater fish;FTE;Tench;4350;Live weight;36450
2023;HU;Hungary;Freshwater fish;Carp;HXP;Carps nei;972200;Live weight;1176260
2023;HU;Hungary;Freshwater fish;Freshwater catfish;SOM;Wels(=Som)catfish;232550;Live weight;1587660
2023;HU;Hungary;Freshwater fish;Other freshwater fish;STU;Sturgeons nei;155710;Live weight;1319590
2023;HU;Hungary;Salmonids;Trout;TRR;Rainbow trout;75550;Live weight;553990
2023;IE;Ireland;Bivalves and other molluscs and aquatic invertebrates;Mussel Mytilus spp;MUS;Blue mussel;14683900;Live weight;12868630
2023;IE;Ireland;Bivalves and other molluscs and aquatic invertebrates;Oyster;OYF;European flat oyster;461630;Live weight;2860260
2023;IE;Ireland;Bivalves and other molluscs and aquatic invertebrates;Oyster;OYG;Pacific cupped oyster;7795250;Live weight;40298600
2023;IE;Ireland;Salmonids;Salmon;SAL;Atlantic salmon;9289360;Live weight;94751510
2023;IE;Ireland;Miscellaneous aquatic products;Seaweed and other algae;SWX;Seaweeds nei;532200;Live weight;650880
2023;IT;Italy;Salmonids;Other salmonids;ACH;Arctic char;96000;Live weight;597000
2023;IT;Italy;Other marine fish;Seabass, European;BSS;European seabass;4820900;Live weight;40476190
2023;IT;Italy;Salmonids;Other salmonids;CHR;Chars nei;10100;Live weight;66200
2023;IT;Italy;Bivalves and other molluscs and aquatic invertebrates;Clam;CLJ;Japanese carpet shell;21547200;Live weight;198339110
2023;IT;Italy;Crustaceans;Shrimp, miscellaneous;CPR;Common prawn;5400;Live weight;89150
