"country_code","year","eurostat_production","fao_production","eumofa_production","eurostat_value","fao_value","eumofa_value","ratio_es_fao","ratio_es_eumo","logdiff_es_fao","logdiff_es_eumo","flag_large_gap_fao","flag_large_gap_eumo","notes"
"AT",2018,NA,3991,1172,NA,26450875,4482000,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"AT",2019,NA,4250,1187,NA,29615585,5110255,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"AT",2020,NA,4527,1229,NA,30304621,5657430,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"AT",2021,NA,4875,1261,NA,33034220,5724713,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"AT",2022,NA,4696,1131,NA,32152739,6440450,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"AT",2023,NA,5141,1207,NA,36915749,7435080,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"BE",2018,NA,111,111,NA,842600,841000,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"BE",2019,NA,86,86,NA,538193,538347,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"BE",2020,NA,209,209,NA,1396409,1394030,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"BE",2021,NA,223,223,NA,1446425,1447320,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"BE",2022,NA,243,243,NA,1740569,1739960,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"BE",2023,NA,261,261,NA,1830557,1832170,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"BG",2018,NA,11239,4375,NA,30771990,9068000,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"BG",2019,NA,11119,5362,NA,30359427,11106513,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"BG",2020,NA,10855,4274,NA,33175287,9283287,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"BG",2021,NA,10381,4284,NA,33152079,10674619,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"BG",2022,NA,7564,4150,NA,28472137,12331032,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"BG",2023,NA,8809,4150,NA,38741262,13386660,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"CH",2018,NA,1743,NA,NA,26109920,NA,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"CH",2019,NA,2169,NA,NA,33910246,NA,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"CH",2020,NA,2169,NA,NA,33302672,NA,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"CH",2021,NA,2174,NA,NA,32160700,NA,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"CH",2022,NA,2310,NA,NA,38741000,NA,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"CH",2023,NA,2310,NA,NA,37680720,NA,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"CY",2018,NA,44,3,NA,363975,55000,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"CY",2019,NA,54,4,NA,463657,78800,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"CY",2020,NA,36,3,NA,308986,53428,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"CY",2021,NA,56,4,NA,479720,66000,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"CY",2022,NA,70,5,NA,594293,72432,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"CY",2023,NA,62,1,NA,546634,22370,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"CZ",2018,NA,21751,20639,NA,45963873,43797000,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"CZ",2019,NA,20986,20050,NA,42173602,38104830,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"CZ",2020,NA,20401,19685,NA,39973165,35882009,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"CZ",2021,NA,20991,19919,NA,43480681,40282648,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"CZ",2022,NA,19259,18559,NA,48497446,46271844,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"CZ",2023,NA,18613,17954,NA,53453140,47488930,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"DE",2018,NA,18252,7268,NA,80503725,32999000,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"DE",2019,NA,18615,8468,NA,78542004,36709187,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"DE",2020,NA,18693,8276,NA,85885849,34761999,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"DE",2021,NA,18294,7416,NA,88670995,37073390,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"DE",2022,NA,17833,6897,NA,96524098,38961205,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"DE",2023,NA,16848,6887,NA,98964660,39541060,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
"DK",2018,NA,21384,810,NA,76984768,7706000,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
