country_code,year,eurostat_production,fao_production,eumofa_production,eurostat_value,fao_value,eumofa_value,ratio_es_fao,ratio_es_eumo,logdiff_es_fao,logdiff_es_eumo,flag_large_gap_fao,flag_large_gap_eumo,notes
AT,2018,0,NA,1172,0,NA,4482000,NA,0,0,-7.067319848653476,FALSE,FALSE,"FAO missing, Eurostat present"
AT,2019,0,NA,1187,0,NA,5110255,NA,0,0,-7.080026499922591,FALSE,FALSE,"FAO missing, Eurostat present"
AT,2020,0,NA,1229,0,NA,5657430,NA,0,0,-7.114769448366463,FALSE,FALSE,"FAO missing, Eurostat present"
AT,2021,0,NA,1261,0,NA,5724713,NA,0,0,-7.140453043101158,FALSE,FALSE,"FAO missing, Eurostat present"
AT,2022,9437,NA,1131,75269793,NA,6440450,NA,8.34394341290893,9.152499372286332,2.1207581135232036,FALSE,TRUE,"FAO missing, Eurostat present"
AT,2023,10340,NA,1207,88436183,NA,7435080,NA,8.566694283347141,9.243871855184976,2.147150476690215,FALSE,TRUE,"FAO missing, Eurostat present"
AT,2024,10016,NA,NA,81022074,NA,NA,NA,NA,9.212038928611765,9.212038928611765,FALSE,FALSE,"FAO missing, Eurostat present"
BE,2018,NA,111,111,NA,844587,841000,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
BE,2019,NA,86,86,NA,536385,538347,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
BE,2020,NA,209,209,NA,1401185,1394030,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
BE,2021,NA,223,223,NA,1446425,1447320,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
BE,2022,NA,243,243,NA,1740569,1739960,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
BE,2023,NA,261,261,NA,1822632,1832170,NA,NA,NA,NA,FALSE,FALSE,"Eurostat missing, FAO present"
BG,2018,18465,NA,4375,56410221,NA,9068000,NA,4.220571428571429,9.823686482332572,1.439796138230756,FALSE,FALSE,"FAO missing, Eurostat present"
BG,2019,18448,NA,5362,54540885,NA,11106513,NA,3.4405072734054456,9.822765447457765,1.23548664847484,FALSE,FALSE,"FAO missing, Eurostat present"
BG,2020,15253,NA,4274,46552367,NA,9283287,NA,3.5687880205896114,9.632597042724184,1.2720576613533225,FALSE,FALSE,"FAO missing, Eurostat present"
BG,2021,16954,NA,4284,56259225,NA,10674619,NA,3.957516339869281,9.73831805455974,1.375442223527859,FALSE,FALSE,"FAO missing, Eurostat present"
BG,2022,15243,NA,4150,57778979,NA,12331032,NA,3.673012048192771,9.63194126199375,1.3008367139407113,FALSE,FALSE,"FAO missing, Eurostat present"
BG,2023,17619,NA,4150,77600472,NA,13386660,NA,4.245542168674699,9.77678989949017,1.445685351437131,FALSE,FALSE,"FAO missing, Eurostat present"
CY,2018,88,NA,3,725320,NA,55000,NA,29.333333333333332,4.48863636973214,3.102342008612249,FALSE,TRUE,"FAO missing, Eurostat present"
